nodes;n;p;time
2;1600;16;325.781,325.784,325.789,325.783,325.786,325.785,325.784,325.785,325.791,325.794,325.792,325.791,325.793,325.796,325.79,325.795
2;1600;16;328.147,328.151,328.154,328.153,328.137,328.154,328.147,328.157,328.166,328.165,328.17,328.168,328.173,328.164,328.173,328.165
2;1600;16;334.347,334.347,334.343,334.331,334.345,334.341,334.336,334.351,334.36,334.357,334.357,334.361,334.36,334.358,334.356,334.357
2;1600;16;328.318,328.321,328.32,328.32,328.325,328.322,328.322,328.322,328.326,328.328,328.332,328.325,328.326,328.331,328.333,328.326
2;1600;20;443.188,443.198,443.2,443.195,443.2,443.196,443.196,443.194,443.197,443.2,443.197,443.202,443.203,443.201,443.206,443.2,443.201,443.199,443.199,443.204
2;1600;20;368.448,368.456,368.456,368.459,368.456,368.462,368.455,368.462,368.453,368.461,368.463,368.464,368.463,368.462,368.465,368.463,368.462,368.461,368.464,368.465
2;1600;20;386.011,386.02,386.017,386.014,386.017,386.02,386,386.019,386.021,386.019,386.01,386,386.02,386.024,386.02,386.022,386.024,386.022,386.022,386.018
2;1600;20;388.582,388.594,388.594,388.59,388.596,388.592,388.594,388.588,388.592,388.597,388.594,388.583,388.606,388.6,388.606,388.588,388.599,388.594,388.6,388.604
2;1600;20;375.767,375.773,375.763,375.77,375.779,375.769,375.779,375.786,375.781,375.777,375.779,375.775,375.778,375.779,375.777,375.778,375.78,375.781,375.779,375.775
2;3200;2;8034,8034.01
2;3200;2;7796.03,7796.05
2;3200;2;7745.17,7745.19
2;3200;2;7761.51,7761.52
2;3200;2;7838.58,7838.59
2;3200;4;3995.02,3995.03,3995.04,3995.04
2;3200;4;4000.6,4000.61,4000.61,4000.61
2;3200;4;4001.29,4001.3,4001.3,4001.3
2;3200;4;4003.4,4003.42,4003.42,4003.42
2;3200;4;3945.98,3945.99,3946,3946
2;3200;8;2499.4,2499.4,2499.4,2499.4,2499.4,2499.4,2499.4,2499.4
2;3200;8;2505.23,2505.24,2505.25,2505.25,2505.25,2505.25,2505.26,2505.25
2;3200;8;2466.57,2466.59,2466.58,2466.58,2466.59,2466.58,2466.58,2466.58
2;3200;8;2513.08,2513.09,2513.1,2513.09,2513.09,2513.08,2513.09,2513.1
2;3200;8;2425.22,2425.22,2425.22,2425.22,2425.24,2425.24,2425.23,2425.23
2;3200;12;2027.79,2027.79,2027.81,2027.79,2027.79,2027.8,2027.8,2027.81,2027.81,2027.8,2027.8,2027.8
2;3200;12;2002.51,2002.51,2002.51,2002.51,2002.51,2002.51,2002.52,2002.52,2002.52,2002.51,2002.51,2002.52
2;3200;12;1995.31,1995.32,1995.33,1995.33,1995.31,1995.32,1995.32,1995.32,1995.32,1995.32,1995.33,1995.32
2;3200;12;2022.81,2022.82,2022.81,2022.81,2022.81,2022.82,2022.82,2022.82,2022.82,2022.82,2022.81,2022.82
2;3200;12;2033.39,2033.4,2033.4,2033.39,2033.4,2033.4,2033.4,2033.41,2033.41,2033.4,2033.41,2033.4
2;3200;16;1584.16,1584.17,1584.17,1584.17,1584.17,1584.17,1584.17,1584.18,1584.17,1584.17,1584.18,1584.19,1584.18,1584.18,1584.17,1584.19
2;3200;16;1600.32,1600.33,1600.35,1600.33,1600.33,1600.34,1600.33,1600.33,1600.34,1600.35,1600.34,1600.33,1600.36,1600.33,1600.33,1600.35
2;3200;16;1572.82,1572.83,1572.84,1572.83,1572.83,1572.84,1572.83,1572.82,1572.84,1572.85,1572.83,1572.84,1572.84,1572.85,1572.84,1572.84
2;3200;16;1566.58,1566.6,1566.59,1566.6,1566.6,1566.61,1566.59,1566.61,1566.6,1566.6,1566.6,1566.61,1566.6,1566.61,1566.61,1566.6
2;3200;16;1612.97,1612.99,1612.98,1612.98,1612.99,1612.98,1612.98,1612.99,1612.99,1612.98,1612.98,1613,1612.99,1612.99,1612.99,1612.98
2;3200;20;1625.32,1625.34,1625.33,1625.33,1625.35,1625.34,1625.34,1625.34,1625.35,1625.35,1625.35,1625.34,1625.34,1625.34,1625.34,1625.35,1625.34,1625.36,1625.35,1625.35
2;3200;20;1561.27,1561.27,1561.28,1561.28,1561.29,1561.27,1561.27,1561.29,1561.29,1561.28,1561.29,1561.29,1561.28,1561.27,1561.28,1561.27,1561.27,1561.29,1561.28,1561.27
2;3200;20;1610.42,1610.43,1610.44,1610.43,1610.43,1610.43,1610.45,1610.43,1610.43,1610.44,1610.44,1610.44,1610.44,1610.45,1610.45,1610.45,1610.44,1610.47,1610.46,1610.45
2;3200;20;1628.69,1628.7,1628.7,1628.71,1628.72,1628.71,1628.72,1628.7,1628.73,1628.7,1628.69,1628.71,1628.69,1628.71,1628.71,1628.71,1628.73,1628.71,1628.7,1628.71
2;3200;20;1601.13,1601.14,1601.14,1601.14,1601.14,1601.15,1601.14,1601.16,1601.14,1601.15,1601.14,1601.15,1601.14,1601.15,1601.13,1601.14,1601.14,1601.16,1601.15,1601.15
4;200;4;18.3917,18.3659,18.3875,18.4097
4;200;4;17.989,17.9541,17.9471,18.0041
4;200;4;18.4875,18.3819,18.4518,18.5003
4;200;4;18.2166,18.1881,18.1682,18.2248
4;200;4;17.7407,17.7077,17.7049,17.75
4;200;8;23.3732,23.3768,23.352,23.3517,23.3502,23.3502,23.4095,23.4062
4;200;8;23.2909,23.2926,23.2563,23.2403,23.2574,23.2608,23.3259,23.3264
4;200;8;23.9775,23.9765,23.9968,23.9968,23.9513,23.9647,24.0089,24.0138
4;200;8;22.9806,22.9808,22.9565,22.9545,22.9695,22.9702,23.0099,23.0117
4;200;8;22.599,22.5957,22.565,22.5692,22.5559,22.5573,22.6286,22.627
4;200;12;24.5741,24.5865,24.5846,24.6203,24.6233,24.6237,24.5566,24.5561,24.5564,24.6262,24.6297,24.6296
4;200;12;26.4711,26.4734,26.4754,26.4773,26.481,26.4819,26.476,26.4805,26.4805,26.4896,26.4917,26.4908
4;200;12;24.8247,24.8266,24.8219,24.8642,24.866,24.8713,24.8803,24.889,24.8842,24.903,24.9051,24.9059
4;200;12;24.5251,24.5282,24.5289,24.5231,24.5275,24.5267,24.5204,24.5285,24.5265,24.5386,24.5463,24.5418
4;200;12;24.7107,24.7189,24.7132,24.7526,24.7525,24.7522,24.7304,24.7335,24.7341,24.7577,24.762,24.7624
4;200;16;32.61,32.6147,32.6112,32.6088,32.5853,32.5861,32.5879,32.5872,32.586,32.5864,32.5862,32.5881,32.6379,32.6386,32.6425,32.6409
4;200;16;30.9251,30.9263,30.929,30.9331,30.9374,30.9383,30.9363,30.941,30.9085,30.9138,30.9138,30.9138,30.9653,30.9678,30.968,30.9738
4;200;16;30.226,30.2256,30.2432,30.2296,30.2264,30.2271,30.2278,30.2288,30.1788,30.1783,30.178,30.1916,30.262,30.2619,30.263,30.2651
4;200;16;38.8503,38.8557,38.8528,38.8528,38.8603,38.8639,38.8612,38.864,38.8224,38.8281,38.8249,38.8243,38.8818,38.8875,38.8812,38.8842
4;200;16;33.2826,33.2856,33.2823,33.2841,33.2782,33.2842,33.2766,33.2836,33.3143,33.3191,33.3154,33.3166,33.3285,33.3292,33.3294,33.3301
4;200;20;33.1763,33.1776,33.1773,33.1752,33.1815,33.1937,33.1903,33.1886,33.1904,33.1915,33.166,33.1658,33.1666,33.1703,33.1708,33.1351,33.1284,33.135,33.1378,33.1223
4;200;20;36.2369,36.2412,36.235,36.2379,36.2373,36.2451,36.2485,36.2499,36.2491,36.2528,36.2147,36.216,36.2163,36.2149,36.2135,36.2046,36.2051,36.2075,36.2089,36.2113
4;200;20;39.2373,39.2434,39.2389,39.2368,39.2355,39.2542,39.2612,39.272,39.274,39.26,39.207,39.1944,39.2083,39.2079,39.2022,39.2529,39.2572,39.2544,39.2545,39.2582
4;200;20;31.699,31.6996,31.7045,31.702,31.7011,31.7174,31.7194,31.7223,31.7219,31.7227,31.6715,31.6673,31.6675,31.6683,31.6687,31.7039,31.7039,31.7032,31.7055,31.7102
4;200;20;32.007,32.0079,32.0096,32.0084,32.0114,32.0461,32.0466,32.0491,32.052,32.0519,31.9768,31.978,31.9823,31.9786,31.9783,32.0186,32.0188,32.0198,32.024,32.0238
4;400;4;41.9181,41.8835,41.8865,41.9237
4;400;4;41.5826,41.5465,41.5389,41.5858
4;400;4;41.7692,41.7309,41.7169,41.7839
4;400;4;41.384,41.338,41.3726,41.3917
4;400;4;40.9669,40.9494,40.9196,40.9785
4;400;8;47.9095,47.9101,47.9081,47.9085,47.9014,47.9039,47.9367,47.942
4;400;8;48.1887,48.1841,48.1833,48.1867,48.1881,48.1894,48.2046,48.2022
4;400;8;49.1059,49.1089,49.0895,49.0902,49.0927,49.0931,49.1459,49.141
4;400;8;48.2808,48.2798,48.2705,48.2705,48.2529,48.2565,48.3165,48.3105
4;400;8;48.4846,48.4874,48.4765,48.4746,48.4566,48.4555,48.4945,48.4953
4;400;12;49.2227,49.2217,49.2208,49.245,49.2465,49.2477,49.2212,49.2275,49.2259,49.2209,49.2251,49.2245
4;400;12;52.0799,52.0783,52.0773,52.1078,52.1181,52.12,52.0447,52.0487,52.049,52.1094,52.1095,52.1133
4;400;12;49.8167,49.8222,49.8204,49.849,49.8513,49.8555,49.8371,49.8395,49.8392,49.8542,49.8592,49.8594
4;400;12;48.0407,48.0431,48.0446,48.0659,48.0728,48.07,48.0766,48.0803,48.0798,48.0636,48.0671,48.0634
4;400;12;49.8199,49.824,49.8246,49.8441,49.8454,49.846,49.8335,49.8374,49.8374,49.8733,49.8808,49.8734
4;400;16;64.467,64.4625,64.4654,64.4704,64.4473,64.4465,64.4454,64.4478,64.4745,64.4741,64.4729,64.4784,64.5115,64.5176,64.5125,64.5148
4;400;16;71.9307,71.9286,71.9337,71.9345,71.9483,71.9482,71.9491,71.9529,71.9321,71.9319,71.9322,71.9335,71.96,71.9614,71.9604,71.963
4;400;16;69.5759,69.5797,69.5795,69.5813,69.5723,69.5747,69.5762,69.5785,69.6139,69.6134,69.6154,69.6154,69.6162,69.6166,69.6155,69.6193
4;400;16;70.6812,70.6811,70.6852,70.6827,70.6604,70.6591,70.6607,70.6604,70.6679,70.6666,70.6709,70.6679,70.7028,70.7035,70.7079,70.7054
4;400;16;60.582,60.5814,60.5807,60.5859,60.5584,60.5579,60.5569,60.5604,60.5789,60.578,60.5794,60.5844,60.6261,60.624,60.6271,60.6272
4;400;20;80.4429,80.4583,80.459,80.4585,80.4597,80.4941,80.4974,80.5002,80.4979,80.4959,80.4366,80.4387,80.4411,80.4408,80.4377,80.4878,80.4882,80.489,80.4845,80.486
4;400;20;70.3213,70.3251,70.3211,70.323,70.3265,70.3316,70.3363,70.3301,70.3369,70.3327,70.2797,70.2853,70.2876,70.2871,70.2884,70.2954,70.3039,70.2899,70.2954,70.2958
4;400;20;76.5326,76.5344,76.5275,76.529,76.5297,76.5408,76.547,76.5431,76.5443,76.5441,76.471,76.4751,76.4713,76.4706,76.4715,76.5323,76.5343,76.5323,76.5307,76.5332
4;400;20;97.1852,97.1788,97.1987,97.1811,97.2081,97.2017,97.204,97.2021,97.2019,97.2035,97.1598,97.165,97.1604,97.1628,97.1607,97.1659,97.1771,97.174,97.1732,97.1789
4;400;20;78.7226,78.7232,78.7114,78.7275,78.7206,78.7321,78.7329,78.7331,78.7303,78.7348,78.6973,78.6943,78.6978,78.6844,78.6987,78.7182,78.72,78.7207,78.7204,78.7258
4;800;4;113.724,113.702,113.678,113.748
4;800;4;114.477,114.488,114.371,114.495
4;800;4;117.392,117.374,117.363,117.426
4;800;4;115.075,115.064,115.055,115.089
4;800;4;117.773,117.771,117.734,117.779
4;800;8;145.974,145.978,145.953,145.949,145.984,145.986,145.998,146.005
4;800;8;151.973,151.973,151.952,151.952,151.939,151.942,152.002,152.002
4;800;8;127.822,127.827,127.792,127.793,127.792,127.81,127.846,127.841
4;800;8;149.804,149.797,149.769,149.77,149.771,149.79,149.822,149.823
4;800;8;141.093,141.096,141.066,141.065,141.061,141.066,141.109,141.113
4;800;12;123.229,123.229,123.228,123.204,123.206,123.207,123.226,123.231,123.227,123.259,123.264,123.257
4;800;12;139.191,139.193,139.194,139.209,139.213,139.209,139.194,139.193,139.194,139.227,139.227,139.227
4;800;12;132.558,132.563,132.561,132.559,132.571,132.563,132.562,132.57,132.565,132.572,132.578,132.578
4;800;12;122.398,122.4,122.402,122.409,122.409,122.421,122.408,122.407,122.408,122.423,122.431,122.428
4;800;12;161.185,161.19,161.187,161.196,161.206,161.207,161.206,161.206,161.209,161.183,161.181,161.183
4;800;16;134.43,134.435,134.43,134.438,134.419,134.428,134.425,134.426,134.411,134.413,134.415,134.41,134.494,134.488,134.488,134.486
4;800;16;125.814,125.821,125.821,125.821,125.832,125.835,125.833,125.84,125.808,125.806,125.802,125.803,125.854,125.858,125.857,125.855
4;800;16;134.127,134.13,134.131,134.134,134.161,134.163,134.164,134.162,134.096,134.09,134.088,134.088,134.174,134.172,134.174,134.165
4;800;16;131.817,131.817,131.817,131.816,131.804,131.814,131.814,131.807,131.817,131.811,131.811,131.815,131.85,131.85,131.851,131.858
4;800;16;137.798,137.796,137.797,137.802,137.811,137.807,137.807,137.813,137.801,137.808,137.801,137.808,137.815,137.817,137.823,137.815
4;800;20;155.584,155.587,155.586,155.584,155.588,155.589,155.58,155.59,155.574,155.588,155.562,155.559,155.554,155.556,155.557,155.535,155.536,155.54,155.533,155.535
4;800;20;164.75,164.757,164.753,164.76,164.752,164.763,164.764,164.764,164.764,164.774,164.736,164.742,164.737,164.733,164.74,164.75,164.752,164.749,164.749,164.754
4;800;20;162.683,162.676,162.682,162.678,162.683,162.692,162.694,162.68,162.694,162.688,162.659,162.655,162.655,162.657,162.661,162.64,162.634,162.638,162.644,162.638
4;800;20;162.016,162.026,162.018,162.029,162.019,162.016,162.018,162.011,162.026,162.025,161.964,161.967,161.961,161.965,161.965,162.002,162.004,162.005,162.007,162.009
4;800;20;170.073,170.078,170.081,170.085,170.083,170.098,170.101,170.097,170.098,170.103,170.056,170.052,170.055,170.057,170.055,170.048,170.049,170.051,170.05,170.05
4;1600;4;631.987,631.964,631.949,631.999
4;1600;4;633.368,633.322,633.327,633.378
4;1600;4;636.246,636.214,636.215,636.251
4;1600;4;627.644,627.611,627.608,627.656
4;1600;4;630.385,630.37,630.35,630.418
4;1600;8;451.616,451.622,451.621,451.622,451.606,451.619,451.662,451.664
4;1600;8;471.941,471.942,471.911,471.912,471.923,471.924,471.963,471.972
4;1600;8;476.948,476.95,476.888,476.89,476.925,476.929,476.97,476.971
4;1600;8;480.7,480.701,480.676,480.675,480.664,480.672,480.719,480.722
4;1600;8;476.252,476.254,476.227,476.227,476.232,476.234,476.265,476.269
4;1600;12;453.58,453.586,453.585,453.591,453.593,453.605,453.589,453.587,453.59,453.611,453.617,453.617
4;1600;12;443.359,443.366,443.362,443.341,443.344,443.347,443.363,443.361,443.365,443.346,443.353,443.348
4;1600;12;420.002,420.004,420.005,420.014,420.017,420.019,419.962,419.96,419.966,420.023,420.026,420.024
4;1600;12;454.592,454.597,454.597,454.595,454.598,454.597,454.599,454.604,454.6,454.625,454.621,454.623
4;1600;12;412.964,412.965,412.967,412.973,412.977,412.975,412.964,412.971,412.973,412.984,412.982,412.983
4;1600;16;379.801,379.801,379.808,379.8,379.794,379.794,379.796,379.798,379.778,379.777,379.778,379.777,379.808,379.808,379.806,379.805
4;1600;16;392.607,392.611,392.61,392.61,392.605,392.603,392.604,392.603,392.575,392.563,392.578,392.579,392.634,392.631,392.63,392.634
4;1600;16;391.64,391.642,391.641,391.647,391.639,391.642,391.639,391.64,391.653,391.651,391.652,391.656,391.684,391.679,391.68,391.681
4;1600;16;387.467,387.465,387.464,387.466,387.437,387.439,387.438,387.437,387.473,387.469,387.47,387.478,387.489,387.488,387.488,387.491
4;1600;16;370.598,370.603,370.6,370.599,370.579,370.577,370.584,370.58,370.582,370.581,370.582,370.581,370.633,370.632,370.633,370.634
4;1600;20;427.102,427.104,427.104,427.105,427.102,427.107,427.112,427.106,427.098,427.11,427.032,427.033,427.04,427.036,427.033,427.075,427.067,427.07,427.074,427.077
4;1600;20;414.771,414.775,414.775,414.775,414.78,414.791,414.801,414.803,414.803,414.8,414.74,414.74,414.741,414.741,414.743,414.767,414.766,414.768,414.77,414.77
4;1600;20;424.46,424.463,424.458,424.459,424.462,424.473,424.473,424.473,424.472,424.472,424.427,424.435,424.429,424.43,424.428,424.451,424.449,424.449,424.452,424.446
4;1600;20;433.415,433.41,433.41,433.413,433.412,433.448,433.429,433.444,433.43,433.432,433.384,433.389,433.386,433.387,433.387,433.402,433.389,433.406,433.405,433.408
4;1600;20;425.788,425.792,425.79,425.791,425.793,425.806,425.809,425.806,425.815,425.811,425.766,425.765,425.766,425.772,425.768,425.771,425.769,425.77,425.763,425.771
4;3200;4;4058.3,4058.28,4058.27,4058.33
4;3200;4;4056.79,4056.77,4056.76,4056.81
4;3200;4;4041.93,4041.96,4041.9,4041.96
4;3200;4;4036.86,4036.84,4036.88,4036.87
4;3200;4;4043.62,4043.59,4043.58,4043.65
4;3200;8;2440.61,2440.62,2440.59,2440.59,2440.57,2440.58,2440.64,2440.63
4;3200;8;2446.05,2446.06,2446.05,2446.05,2446.03,2446.03,2446.08,2446.08
4;3200;8;2439.38,2439.39,2439.37,2439.37,2439.34,2439.34,2439.41,2439.41
4;3200;8;2422.45,2422.46,2422.48,2422.48,2422.42,2422.42,2422.48,2422.48
4;3200;8;2424.77,2424.78,2424.77,2424.76,2424.74,2424.74,2424.8,2424.8
4;3200;12;2003.4,2003.41,2003.41,2003.42,2003.43,2003.44,2003.43,2003.42,2003.42,2003.42,2003.44,2003.43
4;3200;12;2005.82,2005.84,2005.83,2005.85,2005.84,2005.84,2005.84,2005.83,2005.83,2005.84,2005.84,2005.85
4;3200;12;2030.15,2030.16,2030.15,2030.15,2030.16,2030.16,2030.13,2030.14,2030.14,2030.16,2030.16,2030.16
4;3200;12;2012.19,2012.2,2012.2,2012.22,2012.22,2012.22,2012.2,2012.21,2012.2,2012.21,2012.22,2012.22
4;3200;12;2018.12,2018.13,2018.13,2018.14,2018.15,2018.15,2018.14,2018.14,2018.13,2018.15,2018.15,2018.14
4;3200;16;1631.22,1631.23,1631.23,1631.22,1631.21,1631.21,1631.21,1631.22,1631.23,1631.24,1631.24,1631.24,1631.26,1631.26,1631.26,1631.26
4;3200;16;1652.17,1652.17,1652.17,1652.18,1652.18,1652.19,1652.18,1652.19,1652.15,1652.15,1652.15,1652.14,1652.19,1652.19,1652.2,1652.19
4;3200;16;1659.74,1659.74,1659.76,1659.74,1659.76,1659.79,1659.78,1659.77,1659.77,1659.76,1659.76,1659.77,1659.76,1659.76,1659.76,1659.77
4;3200;16;1658.07,1658.1,1658.1,1658.09,1658.08,1658.06,1658.07,1658.06,1658.07,1658.06,1658.07,1658.06,1658.1,1658.11,1658.11,1658.11
4;3200;16;1657.6,1657.61,1657.61,1657.62,1657.65,1657.65,1657.63,1657.63,1657.62,1657.62,1657.62,1657.63,1657.61,1657.62,1657.63,1657.63
4;3200;20;1651.48,1651.49,1651.48,1651.49,1651.49,1651.5,1651.5,1651.5,1651.49,1651.49,1651.46,1651.47,1651.47,1651.46,1651.46,1651.45,1651.45,1651.46,1651.45,1651.47
4;3200;20;1679.45,1679.45,1679.48,1679.45,1679.47,1679.49,1679.47,1679.47,1679.49,1679.47,1679.45,1679.44,1679.44,1679.44,1679.45,1679.46,1679.45,1679.45,1679.46,1679.45
4;3200;20;1610.81,1610.82,1610.82,1610.82,1610.82,1610.87,1610.86,1610.86,1610.86,1610.86,1610.79,1610.78,1610.8,1610.8,1610.79,1610.82,1610.82,1610.82,1610.82,1610.82
4;3200;20;1666.8,1666.83,1666.81,1666.82,1666.81,1666.83,1666.83,1666.83,1666.84,1666.84,1666.79,1666.79,1666.79,1666.8,1666.79,1666.79,1666.79,1666.82,1666.8,1666.8
4;3200;20;1693.26,1693.27,1693.27,1693.28,1693.27,1693.28,1693.28,1693.28,1693.29,1693.29,1693.22,1693.22,1693.21,1693.23,1693.22,1693.23,1693.22,1693.23,1693.24,1693.23
8;200;8;24.3052,24.5486,24.4041,24.5851,24.3349,24.5624,24.3904,24.577
8;200;8;24.5425,24.5876,24.5531,24.5898,24.603,24.6289,24.6029,24.6266
8;200;8;24.8179,24.8725,24.929,24.9072,24.9079,24.8819,24.9533,24.9225
8;200;8;24.6482,24.6967,24.6735,24.6914,24.6581,24.6911,24.6594,24.6764
8;200;8;25.0613,25.1061,25.0716,25.0846,25.0856,25.1,25.0661,25.0808
8;200;12;31.2881,31.2908,30.7913,30.7817,30.8347,30.7956,30.8247,30.8289,31.3562,30.7807,30.8536,30.8111
8;200;12;31.7183,31.7205,31.1664,31.1593,31.2321,31.2225,31.2992,31.3004,31.8047,31.1698,31.2725,31.2833
8;200;12;30.816,30.8188,30.3235,30.3273,30.3639,30.3396,30.4604,30.4218,30.9359,30.3492,30.3871,30.4194
8;200;12;29.25,29.2521,28.7037,28.6956,28.8003,28.7701,28.7871,28.7586,29.3277,28.7099,28.8058,28.7535
8;200;12;27.564,27.5693,27.0655,27.0574,27.0826,27.049,27.1684,27.1454,27.6502,27.0914,27.1041,27.1233
8;200;16;38.2432,38.2428,38.2703,38.2708,38.2705,38.2689,38.2902,38.294,38.2929,38.2926,38.2943,38.2901,38.2794,38.2838,38.2973,38.2965
8;200;16;43.2756,43.2809,43.2714,43.2721,43.3171,43.3168,43.3217,43.3176,43.3346,43.3356,43.3047,43.3044,43.3156,43.3144,43.3232,43.3263
8;200;16;41.0857,41.0851,41.1095,41.1085,41.123,41.1231,41.1358,41.1331,41.132,41.1326,41.111,41.1108,41.1512,41.1524,41.1513,41.1478
8;200;16;42.2674,42.2683,42.2864,42.2916,42.2793,42.2803,42.334,42.3293,42.3292,42.3301,42.3246,42.3257,42.3133,42.3129,42.3436,42.3441
8;200;16;41.2584,41.2571,41.2635,41.2641,41.2734,41.2748,41.2967,41.2964,41.3032,41.3031,41.2756,41.2759,41.2828,41.2815,41.299,41.299
8;200;20;40.5766,40.5859,40.5884,40.6681,40.6939,40.6684,40.6205,40.6305,40.6114,40.7504,40.7756,40.7805,40.606,40.5976,40.7312,40.7451,40.5762,40.5672,40.7607,40.7834
8;200;20;36.0761,36.0686,36.0724,37.9338,37.9087,37.8985,36.9212,36.9329,36.9288,37.8732,37.8735,37.8804,36.0501,36.039,37.9178,37.9217,36.8448,36.8337,37.8769,37.8864
8;200;20;41.1173,41.1339,41.1348,42.8572,42.856,42.8466,42.6746,42.6897,42.6896,43.0037,43.0047,43.0082,41.1535,41.132,42.9205,42.9219,42.6253,42.6196,42.97,42.9866
8;200;20;37.9176,37.9199,37.9179,39.735,39.7378,39.7267,37.9362,37.9309,37.8949,39.7405,39.7646,39.7586,37.8947,37.8863,39.7272,39.742,37.8269,37.8196,39.6997,39.719
8;200;20;42.1835,42.1808,42.1804,42.2215,42.2255,42.2215,42.2275,42.2287,42.2049,42.169,42.1942,42.1845,42.1619,42.1536,42.2373,42.2573,42.0748,42.0678,42.2021,42.2211
8;400;8;57.2522,57.2892,57.2935,57.286,57.2856,57.2888,57.296,57.2869
8;400;8;57.9997,57.9705,57.9816,57.9808,58.0834,58.0106,58.0203,58.0164
8;400;8;54.0105,54.0352,54.0362,54.0372,54.0327,54.0377,54.0351,54.0146
8;400;8;55.0644,55.1047,55.0578,55.0883,55.1337,55.1536,55.1,55.1326
8;400;8;59.5761,59.6025,59.5751,59.5964,59.6064,59.6027,59.5655,59.5905
8;400;12;62.2959,62.3015,61.7339,61.7297,61.8148,61.7878,61.8516,61.8555,62.351,61.7456,61.8292,61.8387
8;400;12;57.6843,57.6877,57.216,57.225,57.1423,57.1283,57.2737,57.2729,57.7694,57.2371,57.1579,57.2598
8;400;12;58.9973,59.0024,58.5029,58.5011,58.5472,58.5156,58.5984,58.5972,59.0762,58.5376,58.5502,58.5825
8;400;12;59.6077,59.6122,59.1561,59.1513,59.2114,59.1721,59.1356,59.1351,59.7132,59.1676,59.2256,59.1361
8;400;12;62.0365,62.0435,61.5069,61.5083,61.401,61.377,61.5915,61.594,62.1139,61.5315,61.4236,61.5709
8;400;16;76.4717,76.4712,76.4979,76.4943,76.4799,76.4836,76.5046,76.5044,76.5175,76.5188,76.5185,76.5184,76.4953,76.4955,76.5171,76.5113
8;400;16;76.2795,76.2791,76.3003,76.3008,76.3166,76.3098,76.3052,76.3094,76.3027,76.3033,76.2996,76.2983,76.3264,76.3222,76.3151,76.3143
8;400;16;75.6816,75.681,75.6777,75.6821,75.713,75.709,75.7241,75.725,75.7196,75.7233,75.6969,75.6941,75.7391,75.7351,75.7329,75.7319
8;400;16;78.9679,78.9677,79.0097,79.0093,78.9588,78.9608,79.0192,79.0181,79.0026,79.002,79.0162,79.0165,78.9788,78.9846,79.0215,79.0215
8;400;16;77.6148,77.6196,77.6827,77.6816,77.6633,77.6636,77.6877,77.6867,77.6578,77.6587,77.6809,77.6862,77.6798,77.6772,77.6812,77.682
8;400;20;89.8849,89.8858,89.8742,90.0123,90.0185,90.0136,89.9159,89.9372,89.9081,90.0621,90.0865,90.0913,89.8132,89.8006,90.0224,90.0415,89.8773,89.8703,90.0371,90.0568
8;400;20;78.4983,78.4969,78.4941,78.4543,78.461,78.4466,78.5323,78.553,78.5234,78.6607,78.6784,78.6817,78.4743,78.4703,78.504,78.5194,78.5009,78.4855,78.6607,78.6816
8;400;20;75.2833,75.2824,75.2857,75.348,75.374,75.3625,75.3168,75.3488,75.2907,75.469,75.4787,75.4662,75.2099,75.2022,75.4018,75.415,75.2678,75.2581,75.4375,75.4519
8;400;20;74.0684,74.0703,74.0604,74.158,74.1653,74.1525,74.1079,74.1114,74.0985,74.1309,74.1397,74.1441,74.0393,74.0299,74.1668,74.169,74.0654,74.0588,74.1651,74.1668
8;400;20;76.4384,76.4415,76.4366,76.4418,76.449,76.4391,76.4983,76.4987,76.4694,76.6295,76.6565,76.6478,76.4111,76.4063,76.4799,76.5023,76.422,76.4158,76.5989,76.6197
8;800;8;149.972,149.939,149.964,149.936,150,149.937,149.957,149.936
8;800;8;150.102,150.134,150.151,150.165,150.127,150.131,150.145,150.164
8;800;8;157.06,157.077,157.106,157.115,157.131,157.112,157.148,157.153
8;800;8;142.718,142.707,142.73,142.758,142.749,142.72,142.762,142.776
8;800;8;154.985,155.012,155.03,155.017,154.981,155.009,155.01,155.014
8;800;12;152.324,152.331,151.86,151.854,151.855,151.827,151.822,151.827,152.424,151.867,151.883,151.819
8;800;12;146.523,146.526,146.024,146.024,146.016,145.99,146.066,146.055,146.594,146.028,146.026,146.044
8;800;12;152.74,152.747,152.227,152.225,152.316,152.299,152.295,152.288,152.806,152.22,152.346,152.294
8;800;12;144.781,144.786,144.321,144.317,144.314,144.286,144.271,144.262,144.865,144.331,144.31,144.246
8;800;12;147.589,147.599,147.15,147.147,147.161,147.13,147.197,147.175,147.723,147.152,147.183,147.168
8;800;16;148.828,148.824,148.842,148.838,148.849,148.849,148.859,148.86,148.853,148.851,148.856,148.859,148.856,148.859,148.869,148.867
8;800;16;146.272,146.274,146.307,146.311,146.305,146.305,146.328,146.328,146.307,146.308,146.304,146.302,146.328,146.318,146.33,146.334
8;800;16;147.035,147.038,147.038,147.039,147.061,147.063,147.078,147.078,147.079,147.079,147.038,147.037,147.077,147.072,147.086,147.079
8;800;16;147.779,147.777,147.823,147.826,147.806,147.804,147.843,147.843,147.798,147.798,147.826,147.827,147.83,147.83,147.847,147.845
8;800;16;147.951,147.951,147.962,147.963,147.982,147.979,148.007,148.004,147.978,147.98,147.966,147.965,147.987,147.986,148.01,148.013
8;800;20;172.479,172.463,172.46,172.876,172.881,172.87,172.48,172.488,172.487,172.873,172.877,172.881,172.329,172.318,172.879,172.883,172.45,172.439,172.83,172.833
